Category,Title,Details
organized,3rd International Conference on Automation & Computation (AutoCom-25),"SERB Sponsored, IEEE Xplore, 2025."
organized,1st International Conference on Cybernation & Computation (CyberCom-24),"DRDO Sponsored, IEEE Xplore, 2024."
organized,2nd International Conference on Automation & Computation (AutoCom-24),"SERB Sponsored, IEEE Xplore, 2024."
organized,1st International Conference on Automation & Computation (AutoCom-22),"DRDO Sponsored, CRC Press (Taylor & Francis), 2022."
selected_publications,Policy for random aerial deployment in large scale wireless sensor networks – CCAA 2015.,
selected_publications,Cervical cancer prediction using machine learning – ICIDCA 2023.,
selected_publications,Water quality prediction using machine learning – ICIDCA 2023.,
selected_publications,Crop recommendation systems using diverse machine learning methodologies – DICCT 2023.,
selected_publications,Autism Spectrum Disorder (ASD) diagnosis using machine learning – DICCT 2023.,
selected_publications,Sentiment analysis in stock price prediction – INDIACom 2023.,
selected_publications,EfficientNetB3 for automated pest detection in agriculture – INDIACom 2023.,
selected_publications,Mental health treatment adherence prediction – CICTN 2023.,
selected_publications,Optimizing hypothyroid diagnosis using machine learning – CICTN 2023.,
selected_publications,Liver disease prediction using machine learning algorithms – CICTN 2023.,
books,Automation and Computation,Edited volume published by CRC Press (Taylor & Francis).
books,A Practitioner's Approach to Problem-Solving using AI,Edited volume published by Bentham Science Publishers (Scopus indexed).
reviewer_roles,SN Computer Science (Springer Nature).,
reviewer_roles,ISA Transactions (SCI/SCIE indexed).,
reviewer_roles,"Wireless Personal Communications (Springer, SCI).",
reviewer_roles,Journal of Information and Optimization Sciences.,
reviewer_roles,Frontiers in Oncology.,
