Title,Journal,Year,Volume_issue_pages,Indexing,Tags
Distributed Deployment Scheme for Homogeneous Distribution of Randomly Deployed Mobile Sensor Nodes in Wireless Sensor Network,IJACSA – International Journal of Advanced Computer Science and Applications,2013,Vol. 4(4),Scopus,WSN; Sensor Deployment; Scopus
Deployment schemes in wireless sensor network to achieve blanket coverage in large-scale open area: A review,Egyptian Informatics Journal,2016,"Vol. 17(1), pp. 45–56",SCI,Coverage; Survey; SCI
Pneumatic Launcher Based Precise Placement Model for Large-Scale Deployment in Wireless Sensor Networks,IJACSA – International Journal of Advanced Computer Science and Applications,2015,Vol. 6(12),Scopus,Pneumatic Launcher; WSN Deployment; Scopus
NADS: Neighbor Assisted Deployment Scheme for Optimal Placement of Sensor Nodes to Achieve Blanket Coverage in Wireless Sensor Network,Wireless Personal Communications,2016,"Vol. 90(4), pp. 1903–1933",SCI,NADS; Coverage; SCI
Policy for planned placement of sensor nodes in large scale wireless sensor network,KSII Transactions on Internet and Information Systems,2016,Vol. 10(7),SCI,Planned Placement; WSN; SCI
Glider assisted schemes to deploy sensor nodes in Wireless Sensor Networks,Robotics and Autonomous Systems,2018,"Vol. 100, pp. 1–13",SCI,Glider Assisted; Autonomous Systems; SCI
Multi-Level P2P Traffic Classification Using Heuristic and Statistical-Based Techniques: A Hybrid Approach,Symmetry,2020,"Vol. 12(12), 2117",SCI,Traffic Classification; Network; SCI
OGAS: Omni-directional Glider Assisted Scheme for autonomous deployment of sensor nodes in open area wireless sensor network,ISA Transactions,2023,"Vol. 132, pp. 131–145",SCI,OGAS; WSN Deployment; SCI
A heuristic based linear time O(N) novel solution to N-Queen problem,Journal of Information and Optimization Sciences,2023,"Vol. 44(6), pp. 1087–1096",WoS,N-Queen; Optimization; WoS
Incremental learning-based cascaded model for detection and localization of tuberculosis from chest x-ray images,Expert Systems with Applications,2024,"Vol. 238, 122129",SCI,Tuberculosis; Cascaded Model; Chest X-Ray; SCI
Iterative enhancement fusion-based cascaded model for detection and localization of multiple disease from CXR-Images,Expert Systems with Applications,2024,"Vol. 255, 124464",SCI,Multi-disease; Chest X-Ray; SCI
Heatmap-Based Deep Learning Model for Network Attacks Classification,SN Computer Science,2024,Vol. 5(8),Scopus,Network Attacks; Deep Learning; Scopus
A Progressive Hierarchical Model for Plant Disease Diagnosis,SN Computer Science,2025,Vol. 6(2),Scopus,Plant Disease; SN Computer Science; Scopus
Performance Insights of Convolutional Neural Networks Operating on Distributed Computing Platforms,SN Computer Science,2025,Vol. 6(4),Scopus,CNN; Distributed Platforms; Scopus
